"dot(grad,param)","dot(grad[n-10], grad[n])","dot(grad[n-11], grad[n])","dot(grad[n-12], grad[n])","dot(grad[n-13], grad[n])","dot(grad[n-14], grad[n])","dot(grad[n-15], grad[n])","dot(grad[n-16], grad[n])","dot(grad[n-17], grad[n])","dot(grad[n-18], grad[n])","dot(grad[n-19], grad[n])","dot(grad[n-1], grad[n])","dot(grad[n-20], grad[n])","dot(grad[n-2], grad[n])","dot(grad[n-3], grad[n])","dot(grad[n-4], grad[n])","dot(grad[n-5], grad[n])","dot(grad[n-6], grad[n])","dot(grad[n-7], grad[n])","dot(grad[n-8], grad[n])","dot(grad[n-9], grad[n])","dot(step[n-10], step[n])","dot(step[n-11], step[n])","dot(step[n-12], step[n])","dot(step[n-13], step[n])","dot(step[n-14], step[n])","dot(step[n-15], step[n])","dot(step[n-16], step[n])","dot(step[n-17], step[n])","dot(step[n-18], step[n])","dot(step[n-19], step[n])","dot(step[n-1], step[n])","dot(step[n-20], step[n])","dot(step[n-2], step[n])","dot(step[n-3], step[n])","dot(step[n-4], step[n])","dot(step[n-5], step[n])","dot(step[n-6], step[n])","dot(step[n-7], step[n])","dot(step[n-8], step[n])","dot(step[n-9], step[n])",epoch,grad_norm,learning_rate,param_norm,step,step_size,test/accuracy,test/loss,test/precision,test/recall,train/accuracy_epoch,train/accuracy_step,train/loss,val/accuracy,val/loss,val/precision,val/recall
0.8854217529296875,575.3521728515625,,,,,,,,,,567.118408203125,,561.4620971679688,538.6915893554688,560.614013671875,556.4415283203125,553.8412475585938,554.3582763671875,541.378173828125,552.7883911132812,7.733144522448969e-16,,,,,,,,,,7.753897888447883e-16,,7.846243008544323e-16,7.524999410551026e-16,7.546293818844999e-16,7.6233346417713295e-16,7.669274532456851e-16,7.734400248793274e-16,7.585126044311872e-16,7.725480991858686e-16,0,25.453500747680664,2.5829669514365605e-09,25.558427810668945,10,3.319901864529129e-08,,,,,,0.09648831188678741,2.81605863571167,,,,
0.846179187297821,550.4220581054688,569.7937622070312,,,,,,,,,561.641357421875,,566.06201171875,557.803955078125,541.7327270507812,561.71533203125,562.3446655273438,555.8755493164062,555.0449829101562,544.3358764648438,7.510067278482116e-16,7.482379359623149e-16,,,,,,,,,7.625976325775579e-16,,7.625987972478604e-16,7.561023721797751e-16,7.47715581331655e-16,7.467708219581113e-16,7.622400787946982e-16,7.678715773445184e-16,7.686115135635042e-16,7.492272175051488e-16,0,25.593360900878906,2.568851797946081e-09,25.558427810668945,11,3.333424558604747e-08,,,,,,0.09031054377555847,2.7720961570739746,,,,
0.865074098110199,520.6624755859375,532.3519287109375,549.388427734375,,,,,,,,542.6279296875,,544.5057983398438,546.173583984375,537.4693603515625,522.0771484375,541.6419677734375,535.6287841796875,532.7144165039062,533.624755859375,7.462665197171398e-16,7.636495416189293e-16,7.491735367921165e-16,,,,,,,,7.591193976587765e-16,,7.757594128471464e-16,7.702076942130457e-16,7.657713062122421e-16,7.491662840725056e-16,7.499685301526739e-16,7.526426661067149e-16,7.543952302141433e-16,7.616719314453273e-16,0,24.541887283325195,2.6789119811354567e-09,25.558427810668945,12,3.2997654386690556e-08,,,,,,0.08957882225513458,2.7908496856689453,,,,
0.8561270833015442,590.2232666015625,577.1873779296875,586.6151733398438,611.09423828125,,,,,,,580.3477783203125,,606.7380981445312,605.5891723632812,606.6400756835938,593.7755737304688,578.45263671875,604.4482421875,595.2457275390625,591.7763061523438,7.624615779104052e-16,7.496779449122064e-16,7.575247522564519e-16,7.60706208006339e-16,,,,,,,7.618263031999644e-16,,7.732840649379142e-16,7.76897242793105e-16,7.711153429555879e-16,7.582389598496649e-16,7.521615513926745e-16,7.723755691624247e-16,7.67953739540402e-16,7.616520791106261e-16,0,27.210323333740234,2.4161987965953813e-09,25.558427810668945,13,3.337094867106316e-08,,,,,,0.09153521060943604,2.780266284942627,,,,
0.8934628367424011,549.1688232421875,548.6795043945312,536.5147094726562,545.58447265625,570.0963745117188,,,,,,596.6793212890625,,538.1043090820312,556.163330078125,555.8783569335938,561.3734130859375,555.8570556640625,535.9985961914062,556.742431640625,548.383544921875,7.596628751735585e-16,7.565645345316207e-16,7.52175739194541e-16,7.579468923015397e-16,7.78013843975823e-16,,,,,,7.583626795995232e-16,,7.579672210922738e-16,7.424686357398883e-16,7.659697766196957e-16,7.647967418668669e-16,7.692935868442807e-16,7.453892582815803e-16,7.4489374400743655e-16,7.443819243490581e-16,0,25.31455421447754,2.5971444994610238e-09,25.558427810668945,14,3.323509289998583e-08,,,,,,0.08160248398780823,2.818758964538574,,,,
0.8383342623710632,525.4300537109375,524.7615356445312,520.6558227539062,508.7554016113281,517.93994140625,532.044677734375,,,,,524.2554931640625,,566.7182006835938,509.90594482421875,530.1890869140625,531.3583984375,531.9578247070312,519.8135375976562,509.9389953613281,529.8941650390625,7.573112470141846e-16,7.556062755704801e-16,7.543942243625184e-16,7.432058720413547e-16,7.506963961521613e-16,7.352582677763861e-16,,,,,7.419077411101283e-16,,7.578399543919489e-16,7.515504700607897e-16,7.528201724487239e-16,7.583397567703881e-16,7.522645717748843e-16,7.408729315463796e-16,7.451079374639735e-16,7.489045508918041e-16,0,24.113012313842773,2.7265592006386896e-09,25.558427810668945,15,3.301533268995627e-08,,,,,,0.10572375357151031,2.7564806938171387,,,,
0.8517855405807495,567.60888671875,561.9071044921875,559.375,563.8326416015625,545.4068603515625,558.8028564453125,584.0266723632812,,,,536.4063110351562,,572.5680541992188,616.7063598632812,552.8888549804688,573.0785522460938,575.8104248046875,572.9589233398438,567.28515625,549.5819702148438,7.308606844724785e-16,7.318288431311902e-16,7.453661236942084e-16,7.551306136310376e-16,7.241734652330242e-16,7.440254822969417e-16,7.692751109381188e-16,,,,7.304021220106587e-16,,7.628140494955814e-16,7.739804318996756e-16,7.481720791506659e-16,7.510087924910206e-16,7.69940455318187e-16,7.45431345231147e-16,7.485589085097651e-16,7.360967774546086e-16,0,26.0650634765625,2.522363207191347e-09,25.558427810668945,16,3.328635500565724e-08,,,,,,0.12217667698860168,2.769681215286255,,,,
0.8403199911117554,513.355224609375,528.1091918945312,525.0332641601562,523.1690063476562,523.941650390625,513.456787109375,519.357177734375,537.582275390625,,,542.6495361328125,,503.29278564453125,525.8240966796875,567.5068359375,513.26953125,538.496337890625,529.0637817382812,535.30419921875,527.4358520507812,7.492843392895292e-16,7.353942165644204e-16,7.494856154936205e-16,7.473608862849923e-16,7.521491105962617e-16,7.482389418139398e-16,7.433532028346178e-16,7.37337627782777e-16,,,7.401191781024417e-16,,7.516138916527154e-16,7.410525025311975e-16,7.493009093715599e-16,7.439894833966834e-16,7.607188076214294e-16,7.4756173897261e-16,7.543817306265464e-16,7.530439479654766e-16,0,24.201950073242188,2.7165394378414476e-09,25.558427810668945,17,3.287969718712702e-08,,,,,,0.09913262724876404,2.7639172077178955,,,,
0.87184739112854,563.10546875,549.65576171875,568.996826171875,566.8109130859375,563.176025390625,562.1286010742188,550.8754272460938,562.234619140625,587.9055786132812,,543.1064453125,,587.615966796875,540.6665649414062,568.8632202148438,614.3968505859375,552.9439697265625,573.79541015625,576.993408203125,574.9554443359375,7.568883658152679e-16,7.485902487288135e-16,7.445215789062367e-16,7.582239779544103e-16,7.626472898840907e-16,7.67853260257034e-16,7.55904801744828e-16,7.634848995898068e-16,7.897383152130394e-16,,7.493096973383876e-16,,7.843020048180021e-16,7.531077930738759e-16,7.728689658542003e-16,7.784413838559496e-16,7.621050299791703e-16,7.592592639741919e-16,7.823075069250142e-16,7.642549584179793e-16,0,25.886037826538086,2.5398076974880723e-09,25.558427810668945,18,3.3233391150133684e-08,,,,,,0.08123816549777985,2.7954862117767334,,,,
0.8818366527557373,545.9307250976562,537.8388671875,524.143310546875,540.37744140625,538.42919921875,535.973388671875,536.345947265625,526.5421142578125,529.17578125,548.1726684570312,555.9842529296875,,519.7361450195312,552.1273193359375,512.6246337890625,541.6937255859375,581.537353515625,522.293212890625,548.0074462890625,543.6546630859375,7.589509439813913e-16,7.500161228163977e-16,7.491897362972328e-16,7.427802379853595e-16,7.512277505078858e-16,7.614419620001478e-16,7.597554664626053e-16,7.545120148817459e-16,7.44488862258649e-16,7.459980632124193e-16,7.628102378473187e-16,,7.60102855850098e-16,7.452423510047909e-16,7.491662840725056e-16,7.662009636747369e-16,7.591141566424154e-16,7.423711210718356e-16,7.582610356458527e-16,7.57786114860239e-16,0,24.73579216003418,2.657911890580067e-09,25.558427810668945,19,3.3056505088779886e-08,,,,,,0.09507585316896439,2.8132681846618652,,,,
