"dot(grad,param)","dot(grad[n-10], grad[n])","dot(grad[n-11], grad[n])","dot(grad[n-12], grad[n])","dot(grad[n-13], grad[n])","dot(grad[n-14], grad[n])","dot(grad[n-15], grad[n])","dot(grad[n-16], grad[n])","dot(grad[n-17], grad[n])","dot(grad[n-18], grad[n])","dot(grad[n-19], grad[n])","dot(grad[n-1], grad[n])","dot(grad[n-20], grad[n])","dot(grad[n-2], grad[n])","dot(grad[n-3], grad[n])","dot(grad[n-4], grad[n])","dot(grad[n-5], grad[n])","dot(grad[n-6], grad[n])","dot(grad[n-7], grad[n])","dot(grad[n-8], grad[n])","dot(grad[n-9], grad[n])","dot(step[n-10], step[n])","dot(step[n-11], step[n])","dot(step[n-12], step[n])","dot(step[n-13], step[n])","dot(step[n-14], step[n])","dot(step[n-15], step[n])","dot(step[n-16], step[n])","dot(step[n-17], step[n])","dot(step[n-18], step[n])","dot(step[n-19], step[n])","dot(step[n-1], step[n])","dot(step[n-20], step[n])","dot(step[n-2], step[n])","dot(step[n-3], step[n])","dot(step[n-4], step[n])","dot(step[n-5], step[n])","dot(step[n-6], step[n])","dot(step[n-7], step[n])","dot(step[n-8], step[n])","dot(step[n-9], step[n])",epoch,grad_norm,learning_rate,param_norm,step,step_size,test/accuracy,test/loss,test/precision,test/recall,train/accuracy_epoch,train/accuracy_step,train/loss,val/accuracy,val/loss,val/precision,val/recall
0.6808936595916748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25.377498626708984,2.5907027634275437e-09,25.566402435302734,0,3.357167699391539e-08,,,,,,0.12673088908195496,2.6085846424102783,,,,
0.6866248846054077,,,,,,,,,,,540.8528442382812,,,,,,,,,,,,,,,,,,,,7.467360936072739e-16,,,,,,,,,,0,24.81036376953125,2.6499229477394692e-09,25.566402435302734,1,3.3394393028629565e-08,,,,,,0.14020758867263794,2.617224931716919,,,,
0.6908825039863586,,,,,,,,,,,527.3975830078125,,542.063720703125,,,,,,,,,,,,,,,,,,7.646823394794283e-16,,7.789436214541122e-16,,,,,,,,0,24.56403923034668,2.6764959137892674e-09,25.566402435302734,2,3.3402301369278575e-08,,,,,,0.12429946660995483,2.628788709640503,,,,
0.6583709120750427,,,,,,,,,,,524.5785522460938,,522.9060668945312,537.6130981445312,,,,,,,,,,,,,,,,,7.822061806086989e-16,,7.524543600946284e-16,7.706967498609667e-16,,,,,,,0,24.49249839782715,2.684313882284073e-09,25.566402435302734,3,3.322739772215755e-08,,,,,,0.14897826313972473,2.5813310146331787,,,,
0.6148179173469543,,,,,,,,,,,520.9384765625,,526.0592041015625,528.3673095703125,541.7720947265625,,,,,,,,,,,,,,,,7.669582640691414e-16,,7.762495802258107e-16,7.59482880672267e-16,7.72043002851509e-16,,,,,,0,24.73698616027832,2.6577835487984203e-09,25.566402435302734,4,3.349182264855699e-08,,,,,,0.13933922350406647,2.5489702224731445,,,,
0.6602876782417297,,,,,,,,,,,512.60009765625,,504.2645263671875,508.41424560546875,508.77532958984375,522.687744140625,,,,,,,,,,,,,,,7.647072740118131e-16,,7.549823828652681e-16,7.617465762238041e-16,7.38174443395105e-16,7.648414228548345e-16,,,,,0,23.941837310791016,2.746052940594268e-09,25.566402435302734,5,3.3333524385170676e-08,,,,,,0.14771108329296112,2.5835025310516357,,,,
0.629811704158783,,,,,,,,,,,501.3428955078125,,514.9364013671875,511.4083557128906,510.56439208984375,515.524658203125,526.6038818359375,,,,,,,,,,,,,,7.645340028345404e-16,,7.546322406206969e-16,7.604464865288872e-16,7.509409239761218e-16,7.445212083293223e-16,7.523862268819337e-16,,,,0,24.224517822265625,2.714008795479117e-09,25.566402435302734,6,3.336724319069617e-08,,,,,,0.1429283618927002,2.562883138656616,,,,
0.6203861236572266,,,,,,,,,,,503.46826171875,,500.21551513671875,516.6820068359375,511.50836181640625,514.0903930664062,518.777099609375,527.7777099609375,,,,,,,,,,,,,7.579782854601474e-16,,7.637274686500767e-16,7.652339167467685e-16,7.599919474735668e-16,7.666279741592715e-16,7.575053763777834e-16,7.609502593742667e-16,,,0,24.236515045166016,2.7126652035747156e-09,25.566402435302734,7,3.3360624485112567e-08,,,,,,0.1348494589328766,2.55372953414917,,,,
0.6993306875228882,,,,,,,,,,,502.2527160644531,,505.78656005859375,495.8614807128906,517.1593017578125,507.17431640625,504.09710693359375,517.10693359375,518.544921875,,,,,,,,,,,,7.384795870143534e-16,,7.442362876216896e-16,7.293964292044719e-16,7.440755101803889e-16,7.264218083123924e-16,7.153674989551317e-16,7.38704897778323e-16,7.158568193008487e-16,,0,24.30830955505371,2.7046533901398107e-09,25.566402435302734,8,3.3183098935296584e-08,,,,,,0.12927430868148804,2.626540184020996,,,,
0.624457061290741,,,,,,,,,,,499.6217041015625,,500.6593933105469,496.30609130859375,494.5832824707031,514.3163452148438,503.8358459472656,505.8353576660156,511.0572814941406,522.4075317382812,,,,,,,,,,,7.458887959622235e-16,,7.655686006400523e-16,7.538262887713844e-16,7.553889586799502e-16,7.706498983510717e-16,7.509598233987574e-16,7.590406235946819e-16,7.50497184590879e-16,7.520886006800922e-16,0,23.935556411743164,2.7467734753372497e-09,25.566402435302734,9,3.33594627477396e-08,,,,,,0.13867413997650146,2.5538363456726074,,,,
