epoch,grad_norm,learning_rate,param_size,step,step_size,test/accuracy,test/loss,test/precision,test/recall,train/accuracy_epoch,train/accuracy_step,train/loss,val/accuracy,val/loss,val/precision,val/recall
0,25.44748878479004,0.24516741931438446,26.304264068603516,0,6.238894939422607,,,,,,0.11099424213171005,2.683288097381592,,,,
0,7.58078670501709,0.8145920634269714,27.02316665649414,1,6.175248622894287,,,,,,0.40801191329956055,1.7534571886062622,,,,
0,2.145981788635254,2.855058431625366,27.6709041595459,2,6.126903533935547,,,,,,0.2684749960899353,2.2507033348083496,,,,
0,1.2193007469177246,5.117706775665283,28.116037368774414,3,6.240023612976074,,,,,,0.016338983550667763,3.3030922412872314,,,,
0,0.3021408021450043,17.986536026000977,28.67650604248047,4,5.434466361999512,,,,,,0.21107299625873566,2.217829704284668,,,,
0,0.8608721494674683,6.477409839630127,29.149221420288086,5,5.576221942901611,,,,,,0.4623934030532837,1.5297679901123047,,,,
0,1.4601176977157593,4.257869720458984,29.63525390625,6,6.216990947723389,,,,,,0.19916749000549316,2.6733057498931885,,,,
0,0.6352959871292114,8.353174209594727,30.141460418701172,7,5.306737899780273,,,,,,0.4838216006755829,1.4505923986434937,,,,
0,0.5018972754478455,9.73039722442627,30.589868545532227,8,4.883659839630127,,,,,,0.5754846334457397,1.1901116371154785,,,,
0,0.3687458336353302,11.515026092529297,30.960344314575195,9,4.246118068695068,,,,,,0.6806604266166687,0.9249444603919983,,,,
0,0.4008214771747589,10.763669967651367,31.263349533081055,10,4.314310073852539,,,,,,0.6868179440498352,0.8524299263954163,,,,
0,0.4921950399875641,9.298080444335938,31.580387115478516,11,4.5764689445495605,,,,,,0.701488733291626,0.8054720163345337,,,,
0,0.44561418890953064,9.832067489624023,31.86074447631836,12,4.381308555603027,,,,,,0.7353300452232361,0.7327688932418823,,,,
0,0.36607155203819275,10.955835342407227,32.0993537902832,13,4.010619640350342,,,,,,0.7835918664932251,0.6547871232032776,,,,
0,0.28722402453422546,11.946735382080078,32.29409408569336,14,3.431389331817627,,,,,,0.8530658483505249,0.46697714924812317,,,,
0,0.24854683876037598,12.420733451843262,32.48703384399414,15,3.0871341228485107,,,,,,0.8859072923660278,0.3730776309967041,,,,
0,0.2145157754421234,12.951945304870605,32.63312911987305,16,2.7783966064453125,,,,,,0.8998110294342041,0.33036571741104126,,,,
0,0.20329339802265167,13.09444522857666,32.77372741699219,17,2.6620142459869385,,,,,,0.8977532982826233,0.30824193358421326,,,,
0,0.1671890765428543,13.65262508392334,32.887813568115234,18,2.2825698852539062,,,,,,0.9183420538902283,0.270267516374588,,,,
0,0.12699554860591888,14.145112991333008,32.96597671508789,19,1.7963663339614868,,,,,,0.9306818246841431,0.21607626974582672,,,,
0,0.11536660045385361,14.436667442321777,33.04093551635742,20,1.6655092239379883,,,,,,0.9228694438934326,0.23568303883075714,,,,
0,0.10871860384941101,14.344992637634277,33.109127044677734,21,1.5595675706863403,,,,,,0.9387826919555664,0.1958560347557068,,,,
0,0.09441328048706055,14.388166427612305,33.17070388793945,22,1.3584339618682861,,,,,,0.9493080377578735,0.16270121932029724,,,,
0,0.09233812242746353,14.37792682647705,33.21969985961914,23,1.3276307582855225,,,,,,0.9518418312072754,0.15511050820350647,,,,
0,0.08290470391511917,14.512990951538086,33.26874542236328,24,1.2031952142715454,,,,,,0.9540498852729797,0.15747353434562683,,,,
0,0.09633967280387878,14.442091941833496,33.31318283081055,25,1.3913464546203613,,,,,,0.9432229995727539,0.1785937398672104,,,,
0,0.08260588347911835,14.378500938415527,33.36398696899414,26,1.1877487897872925,,,,,,0.9572124481201172,0.13074268400669098,,,,
0,0.0890139564871788,14.242850303649902,33.41590881347656,27,1.2678124904632568,,,,,,0.9635276794433594,0.1196889728307724,,,,
0,0.08480414003133774,14.3598051071167,33.456844329833984,28,1.2177709341049194,,,,,,0.9643917083740234,0.13237415254116058,,,,
0,0.08878034353256226,14.18922233581543,33.50872802734375,29,1.2597240209579468,,,,,,0.9647094011306763,0.10834193229675293,,,,
0,0.09701881557703018,14.182170867919922,33.55463790893555,30,1.3759374618530273,,,,,,0.9685099720954895,0.12863098084926605,,,,
0,0.09952438622713089,14.153491020202637,33.604183197021484,31,1.4086174964904785,,,,,,0.958350658416748,0.1297670602798462,,,,
0,0.0867726132273674,14.255762100219727,33.64413833618164,32,1.2370097637176514,,,,,,0.963630735874176,0.11665067076683044,,,,
0,0.10242903977632523,14.078595161437988,33.69082260131836,33,1.4420570135116577,,,,,,0.9624900817871094,0.12264829128980637,,,,
0,0.12787248194217682,13.662593841552734,33.75027847290039,34,1.7470698356628418,,,,,,0.9629361629486084,0.11413006484508514,,,,
0,0.12564651668071747,13.793487548828125,33.81175231933594,35,1.733103632926941,,,,,,0.957947850227356,0.1355312168598175,,,,
0,0.12260723114013672,13.863009452819824,33.86517333984375,36,1.6997052431106567,,,,,,0.9546756744384766,0.14032556116580963,,,,
0,0.10391919314861298,13.96016788482666,33.91630172729492,37,1.4507293701171875,,,,,,0.9673264622688293,0.10223574191331863,,,,
0,0.08876987546682358,14.130470275878906,33.95555877685547,38,1.2543600797653198,,,,,,0.968315839767456,0.09644266963005066,,,,
0,0.10050534456968307,14.119819641113281,33.99296951293945,39,1.4191173315048218,,,,,,0.9582020044326782,0.12564365565776825,,,,
0,0.10472115874290466,14.0042724609375,34.034854888916016,40,1.4665436744689941,,,,,,0.9674649834632874,0.11383970081806183,,,,
0,0.08497005701065063,14.121092796325684,34.075157165527344,41,1.1998701095581055,,,,,,0.9745255708694458,0.0852164700627327,,,,
