"dot(grad,param)","dot(grad[n-10], grad[n])","dot(grad[n-11], grad[n])","dot(grad[n-12], grad[n])","dot(grad[n-13], grad[n])","dot(grad[n-14], grad[n])","dot(grad[n-15], grad[n])","dot(grad[n-16], grad[n])","dot(grad[n-17], grad[n])","dot(grad[n-18], grad[n])","dot(grad[n-19], grad[n])","dot(grad[n-1], grad[n])","dot(grad[n-20], grad[n])","dot(grad[n-2], grad[n])","dot(grad[n-3], grad[n])","dot(grad[n-4], grad[n])","dot(grad[n-5], grad[n])","dot(grad[n-6], grad[n])","dot(grad[n-7], grad[n])","dot(grad[n-8], grad[n])","dot(grad[n-9], grad[n])","dot(step[n-10], step[n])","dot(step[n-11], step[n])","dot(step[n-12], step[n])","dot(step[n-13], step[n])","dot(step[n-14], step[n])","dot(step[n-15], step[n])","dot(step[n-16], step[n])","dot(step[n-17], step[n])","dot(step[n-18], step[n])","dot(step[n-19], step[n])","dot(step[n-1], step[n])","dot(step[n-20], step[n])","dot(step[n-2], step[n])","dot(step[n-3], step[n])","dot(step[n-4], step[n])","dot(step[n-5], step[n])","dot(step[n-6], step[n])","dot(step[n-7], step[n])","dot(step[n-8], step[n])","dot(step[n-9], step[n])",epoch,grad_norm,learning_rate,param_norm,step,step_size,train/accuracy_epoch,train/accuracy_step,train/loss,val/accuracy,val/loss,val/precision,val/recall
1.0038671493530273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25.773374557495117,0.009999999776482582,29.710647583007812,0,15.139142036437988,,0.08860970288515091,2.9308481216430664,,,,
0.427985817193985,,,,,,,,,,,-0.3693358600139618,,,,,,,,,,,,,,,,,,,,124.50675201416016,,,,,,,,,,0,11.48193645477295,0.009999999776482582,35.233642578125,1,10.448238372802734,,0.20029926300048828,2.347026824951172,,,,
-0.37482139468193054,,,,,,,,,,,-1.82921302318573,,-0.1494675874710083,,,,,,,,,,,,,,,,,,84.01725769042969,,95.95945739746094,,,,,,,,0,1.8604751825332642,0.009999999776482582,40.832542419433594,2,8.08130931854248,,0.5462059378623962,1.5312963724136353,,,,
-0.5431908965110779,,,,,,,,,,,0.921369731426239,,-0.9261670112609863,-0.050611041486263275,,,,,,,,,,,,,,,,,53.576568603515625,,68.7072982788086,78.56100463867188,,,,,,,0,0.8169580101966858,0.009999999776482582,45.97462844848633,3,6.638124465942383,,0.6616417765617371,1.305664300918579,,,,
-0.5901229381561279,,,,,,,,,,,0.36009716987609863,,0.2851658761501312,-0.46546176075935364,-0.05258513614535332,,,,,,,,,,,,,,,,37.31473159790039,,45.30577087402344,58.0250358581543,66.38484191894531,,,,,,0,0.5744953751564026,0.009999999776482582,50.59579849243164,4,5.624690532684326,,0.6867326498031616,1.2169939279556274,,,,
-0.6483380198478699,,,,,,,,,,,0.20883971452713013,,0.20363909006118774,0.08152447640895844,-0.23018071055412292,-0.07962408661842346,,,,,,,,,,,,,,,27.316652297973633,,32.19368362426758,39.05439376831055,49.986045837402344,57.20500183105469,,,,,0,0.4336373209953308,0.009999999776482582,54.73191452026367,5,4.858402729034424,,0.736127495765686,1.120861291885376,,,,
-0.6525552272796631,,,,,,,,,,,0.12312185764312744,,0.12742231786251068,0.12684787809848785,0.05126646161079407,-0.17275388538837433,-0.08032577484846115,,,,,,,,,,,,,,20.645912170410156,,23.880908966064453,28.13113784790039,34.108245849609375,43.638877868652344,49.950164794921875,,,,0,0.36058804392814636,0.009999999776482582,58.43687057495117,6,4.250810623168945,,0.7467969059944153,1.0917279720306396,,,,
-0.6515446305274963,,,,,,,,,,,0.09622976928949356,,0.10093893110752106,0.08103235810995102,0.05883383750915527,-0.005850465502589941,-0.043856069445610046,-0.10211851447820663,,,,,,,,,,,,,15.949356079101562,,18.215648651123047,21.06124496459961,24.8028507232666,30.06665802001953,38.46432876586914,44.026954650878906,,,0,0.3286772072315216,0.009999999776482582,61.76255798339844,7,3.753162384033203,,0.7295945882797241,1.071495532989502,,,,
-0.6495986580848694,,,,,,,,,,,0.09297824651002884,,0.08457110077142715,0.07491239160299301,0.048634011298418045,0.03659515082836151,0.007516900077462196,-0.03672070428729057,-0.11758053302764893,,,,,,,,,,,,12.520790100097656,,14.169673919677734,16.176607131958008,18.69800567626953,22.016864776611328,26.687938690185547,34.14252471923828,39.0802001953125,,0,0.31852033734321594,0.009999999776482582,64.75505828857422,8,3.3371293544769287,,0.7647740244865417,1.0443603992462158,,,,
-0.6939773559570312,,,,,,,,,,,0.088919997215271,,0.09159156680107117,0.08101993799209595,0.07833890616893768,0.049039293080568314,0.014189166948199272,0.002556172199547291,-0.03564704209566116,-0.11644024401903152,,,,,,,,,,,9.954967498779297,,11.186548233032227,12.653535842895508,14.440177917480469,16.685840606689453,19.64529037475586,23.815303802490234,30.46894645690918,34.873313903808594,0,0.3293173313140869,0.009999999776482582,67.45406341552734,9,2.984158515930176,,0.7965444326400757,0.9769132733345032,,,,
-0.7118114233016968,-0.11807646602392197,,,,,,,,,,0.09471864253282547,,0.0925789624452591,0.08713802695274353,0.078067347407341,0.05673220008611679,0.029915189370512962,0.010460622608661652,0.026258360594511032,-0.03686602786183357,31.249446868896484,,,,,,,,,,7.996102809906006,,8.933043479919434,10.032180786132812,11.342164993286133,12.93894100189209,14.948397636413574,17.600236892700195,21.339946746826172,27.30435562133789,0,0.3291139006614685,0.009999999776482582,69.8934097290039,10,2.680663585662842,,0.8174668550491333,0.9442424774169922,,,,
-0.7162269353866577,-0.06511012464761734,-0.12434554100036621,,,,,,,,,0.08706969767808914,,0.07870320230722427,0.08539405465126038,0.07772747427225113,0.07426401227712631,0.05646149814128876,0.03298153355717659,0.03326549381017685,0.017130417749285698,24.54644203186035,28.095630645751953,,,,,,,,,6.477052211761475,,7.202733516693115,8.04256820678711,9.027010917663574,10.201072692871094,11.633021354675293,13.437003135681152,15.820562362670898,19.18274688720703,0,0.31362834572792053,0.009999999776482582,72.10240173339844,11,2.417222023010254,,0.8036629557609558,0.9242488741874695,,,,
-0.7143434882164001,0.03429536148905754,-0.06938770413398743,-0.11968947947025299,,,,,,,,0.08087678253650665,,0.07989363372325897,0.07094939798116684,0.07394394278526306,0.06560241430997849,0.06914517283439636,0.05051738768815994,0.03619617223739624,0.03364972025156021,17.289125442504883,22.125560760498047,25.3266544342041,,,,,,,,5.282051086425781,,5.851403713226318,6.503130912780762,7.2580366134643555,8.142491340637207,9.198197364807129,10.485937118530273,12.110000610351562,14.257906913757324,0,0.2870838940143585,0.009999999776482582,74.10588836669922,12,2.1860151290893555,,0.8113259077072144,0.8920207619667053,,,,
-0.7237898707389832,0.049523308873176575,0.01537305861711502,-0.07950779795646667,-0.09363490343093872,,,,,,,0.07670377939939499,,0.07809130847454071,0.07060478627681732,0.06338624656200409,0.0697198286652565,0.06492091715335846,0.06702644377946854,0.052155978977680206,0.04095590487122536,12.87681770324707,15.613791465759277,19.98546028137207,22.87969207763672,,,,,,,4.330941677093506,,4.783900260925293,5.296243667602539,5.883121013641357,6.563610553741455,7.360198497772217,8.311654090881348,9.472192764282227,10.937602996826172,0,0.3004051148891449,0.009999999776482582,75.92544555664062,13,1.982211947441101,,0.8253011703491211,0.8683035373687744,,,,
-0.7072470188140869,0.04265262559056282,0.037937264889478683,0.039543356746435165,-0.08025690168142319,-0.11665938794612885,,,,,,0.06667253375053406,,0.06599067151546478,0.06395641714334488,0.07147207856178284,0.06771192699670792,0.06380943953990936,0.06103885918855667,0.05721309036016464,0.051858242601156235,9.895685195922852,11.649236679077148,14.125617980957031,18.083019256591797,20.704137802124023,,,,,,3.5687785148620605,,3.9312236309051514,4.339838027954102,4.8021240234375,5.331371307373047,5.945394039154053,6.664073467254639,7.522989273071289,8.571355819702148,0,0.2687544524669647,0.009999999776482582,77.57992553710938,14,1.8012219667434692,,0.831642746925354,0.8512814044952393,,,,
-0.7213212251663208,0.05474935099482536,0.05344788730144501,0.05504310131072998,0.04083598032593727,-0.0986592099070549,-0.12113702297210693,,,,,0.06468213349580765,,0.06337285041809082,0.062467582523822784,0.062078822404146194,0.05898663401603699,0.058379463851451874,0.05570422112941742,0.052323151379823685,0.05310343950986862,7.768643379211426,8.96733570098877,10.55436897277832,12.796310424804688,16.382505416870117,18.762916564941406,,,,,2.951296091079712,,3.2438082695007324,3.5710976123809814,3.940159559249878,4.357784271240234,4.836483001708984,5.392063140869141,6.042080402374268,6.819550514221191,0,0.26777830719947815,0.009999999776482582,79.08577728271484,15,1.6394673585891724,,0.8503470420837402,0.8135808706283569,,,,
-0.7198386192321777,0.05239662528038025,0.058299142867326736,0.06116029992699623,0.053703803569078445,0.04062268137931824,-0.10723164677619934,-0.11524799466133118,,,,0.06562607735395432,,0.0630185455083847,0.054544154554605484,0.05814296007156372,0.05278632417321205,0.05733957886695862,0.056565120816230774,0.048682864755392075,0.048278313130140305,6.190390110015869,7.050847053527832,8.136794090270996,9.574129104614258,11.605515480041504,14.858162879943848,17.021738052368164,,,,2.449012279510498,,2.686413049697876,2.9504802227020264,3.24682879447937,3.5807487964630127,3.95913028717041,4.392868995666504,4.896261215209961,5.485448360443115,0,0.27345341444015503,0.009999999776482582,80.45751953125,16,1.494844913482666,,0.8568069338798523,0.7984719276428223,,,,
