"dot(grad,param)",epoch,grad_norm,learning_rate,param_size,step,step_size,test/accuracy,test/loss,test/precision,test/recall,train/accuracy_epoch,train/accuracy_step,train/loss,val/accuracy,val/loss,val/precision,val/recall
0.784400224685669,0,24.82094383239746,0.1777430921792984,25.92180633544922,0,4.4117512702941895,,,,,,0.10489368438720703,2.700226306915283,,,,
-0.3605741560459137,0,7.5243353843688965,0.5780715942382812,26.29212760925293,1,4.349604606628418,,,,,,0.5447755455970764,1.4603148698806763,,,,
0.5378782749176025,0,3.2137038707733154,1.362382411956787,26.626676559448242,2,4.378293514251709,,,,,,0.19181793928146362,2.4460771083831787,,,,
0.7320555448532104,0,1.5794060230255127,2.777021646499634,26.91006088256836,3,4.386044502258301,,,,,,0.10590312629938126,2.629070281982422,,,,
0.2142714262008667,0,0.8910488486289978,4.7492899894714355,27.203393936157227,4,4.231849193572998,,,,,,0.1075390875339508,2.2905941009521484,,,,
-0.044343382120132446,0,0.649838387966156,6.163815498352051,27.506641387939453,5,4.005484104156494,,,,,,0.296419620513916,1.953645944595337,,,,
-0.43074145913124084,0,0.5386442542076111,6.893752574920654,27.862924575805664,6,3.713280200958252,,,,,,0.5207082033157349,1.5236496925354004,,,,
-0.41712456941604614,0,0.5132319927215576,6.901310443878174,28.1894588470459,7,3.541973352432251,,,,,,0.6155035495758057,1.223219394683838,,,,
-0.2796795666217804,0,0.4861821234226227,7.011161804199219,28.463775634765625,8,3.4087014198303223,,,,,,0.6275196075439453,1.0161126852035522,,,,
-0.14718139171600342,0,0.645885169506073,5.594350337982178,28.720888137817383,9,3.6133079528808594,,,,,,0.6321672797203064,1.0237380266189575,,,,
0.04032398760318756,0,0.6436014175415039,5.612762451171875,28.939350128173828,10,3.612381935119629,,,,,,0.6657276153564453,1.0273644924163818,,,,
-0.21781092882156372,0,0.4016455411911011,7.762107849121094,29.16482162475586,11,3.1176159381866455,,,,,,0.7599741220474243,0.7304309010505676,,,,
-0.24541598558425903,0,0.3729006052017212,8.013298988342285,29.384504318237305,12,2.988163948059082,,,,,,0.8128812313079834,0.6008180975914001,,,,
-0.10540974140167236,0,0.3573458194732666,8.221107482910156,29.560325622558594,13,2.9377784729003906,,,,,,0.8004204630851746,0.5823571681976318,,,,
-0.10846536606550217,0,0.32422226667404175,8.592020988464355,29.722667694091797,14,2.785724401473999,,,,,,0.8166888952255249,0.4681309163570404,,,,
-0.14859354496002197,0,0.28388598561286926,9.261914253234863,29.88482666015625,15,2.6293277740478516,,,,,,0.8623533248901367,0.43825721740722656,,,,
-0.12510068714618683,0,0.2650945782661438,9.505570411682129,30.030500411987305,16,2.5198752880096436,,,,,,0.8817117214202881,0.3674009144306183,,,,
-0.11819513142108917,0,0.29986700415611267,8.841588020324707,30.181955337524414,17,2.6513004302978516,,,,,,0.8857029676437378,0.35712099075317383,,,,
-0.095325767993927,0,0.37606310844421387,7.746358394622803,30.3465576171875,18,2.9131195545196533,,,,,,0.8717164993286133,0.41252705454826355,,,,
-0.06759024411439896,0,0.4363778829574585,7.0096235275268555,30.515859603881836,19,3.058844566345215,,,,,,0.8582813143730164,0.41439104080200195,,,,
-0.09985632449388504,0,0.33365827798843384,8.295682907104492,30.668153762817383,20,2.767923355102539,,,,,,0.8879714012145996,0.36204004287719727,,,,
-0.11022350192070007,0,0.19802802801132202,10.773141860961914,30.78087043762207,21,2.1333839893341064,,,,,,0.9273935556411743,0.2611125111579895,,,,
-0.0921446830034256,0,0.12988072633743286,12.518288612365723,30.861181259155273,22,1.6258844137191772,,,,,,0.9329624176025391,0.22344879806041718,,,,
-0.09292551130056381,0,0.13490012288093567,12.23740005493164,30.942075729370117,23,1.6508268117904663,,,,,,0.9444025754928589,0.1832045465707779,,,,
-0.059999704360961914,0,0.14931049942970276,11.87120532989502,31.015775680541992,24,1.7724956274032593,,,,,,0.9435533881187439,0.1953410804271698,,,,
-0.10671236366033554,0,0.19192084670066833,10.746472358703613,31.121145248413086,25,2.062472105026245,,,,,,0.9400333762168884,0.18791495263576508,,,,
-0.05498860031366348,0,0.1651945859193802,11.470915794372559,31.19900894165039,26,1.8949332237243652,,,,,,0.9418935775756836,0.20601095259189606,,,,
-0.08421918749809265,0,0.14736615121364594,11.79039192199707,31.279111862182617,27,1.7375047206878662,,,,,,0.9514728784561157,0.1510581076145172,,,,
-0.06853886693716049,0,0.1414429098367691,11.991351127624512,31.351289749145508,28,1.696091651916504,,,,,,0.9528552889823914,0.16371357440948486,,,,
-0.05146938934922218,0,0.17037467658519745,11.239959716796875,31.42813491821289,29,1.9150044918060303,,,,,,0.9414733052253723,0.17100736498832703,,,,
-0.07250446081161499,0,0.10133727639913559,12.971259117126465,31.48549461364746,30,1.3144720792770386,,,,,,0.9649226069450378,0.1214679479598999,,,,
-0.059145472943782806,0,0.08244301378726959,13.498708724975586,31.530488967895508,31,1.1128742694854736,,,,,,0.9553231000900269,0.12288808077573776,,,,
-0.05064929649233818,0,0.08127187192440033,13.407757759094238,31.570829391479492,32,1.0896735191345215,,,,,,0.9747568964958191,0.09437701851129532,,,,
-0.07544062286615372,0,0.08898096531629562,13.185735702514648,31.62409210205078,33,1.1732795238494873,,,,,,0.9688376188278198,0.0901639312505722,,,,
-0.048232950270175934,0,0.09853404760360718,12.99927806854248,31.66982650756836,34,1.2808715105056763,,,,,,0.9709680080413818,0.10862264037132263,,,,
-0.0194624625146389,0,0.1458151787519455,11.818452835083008,31.72393035888672,35,1.7233097553253174,,,,,,0.9529155492782593,0.14645428955554962,,,,
