loss,grad_norm,batchsize,time
4.821032524108887,8.196555137634277,20,1716146183.9796007
4.6704936027526855,8.198596954345703,20,1716146185.2681491
4.588326454162598,7.873178958892822,20,1716146186.5806937
4.722246170043945,7.41213321685791,22,1716146188.00238
4.592822074890137,7.1875433921813965,25,1716146189.5945816
4.505673885345459,6.885780334472656,27,1716146191.3123837
4.679246425628662,6.43630838394165,29,1716146193.143701
4.749167442321777,6.680403232574463,30,1716146195.027026
4.7486796379089355,6.812980651855469,30,1716146196.9059722
4.670729637145996,6.599818706512451,32,1716146198.914301
4.794068813323975,7.078115463256836,33,1716146200.9675157
4.696190357208252,6.605015754699707,33,1716146203.053675
4.7617106437683105,6.476241111755371,34,1716146205.2143726
4.664308547973633,6.447912693023682,35,1716146207.4047759
4.841315746307373,6.174678325653076,35,1716146209.5846784
4.711668491363525,6.22393274307251,35,1716146211.8075285
4.630774974822998,6.052251815795898,36,1716146214.0896852
4.689231872558594,5.843749523162842,37,1716146216.4035032
4.741634845733643,5.952277660369873,38,1716146218.7828648
4.643463134765625,5.81508731842041,38,1716146221.1592832
4.842860698699951,5.533702850341797,41,1716146223.74114
4.6260857582092285,5.698258399963379,41,1716146226.2957408
4.769853591918945,5.2161688804626465,43,1716146228.95978
4.661571025848389,5.495510578155518,44,1716146231.70891
4.666617393493652,5.123774528503418,47,1716146234.6312525
4.626084804534912,5.29531192779541,48,1716146237.599835
4.687701225280762,5.215856552124023,50,1716146240.6867042
4.685013294219971,5.066832065582275,52,1716146243.8690634
4.653148174285889,5.0972442626953125,53,1716146247.1188388
4.761272430419922,5.11805534362793,53,1716146250.367884
4.766552925109863,5.089028835296631,56,1716146253.821304
4.590526580810547,4.7766923904418945,56,1716146257.2735238
4.851935863494873,4.903405666351318,57,1716146260.7956767
4.886682987213135,4.846038341522217,57,1716146264.2918556
4.874617576599121,4.981225967407227,59,1716146267.9291837
4.657756328582764,4.59255838394165,63,1716146271.8158891
4.612375736236572,4.431399345397949,63,1716146275.6779652
4.617302894592285,4.25627326965332,65,1716146279.670892
4.650637626647949,4.511219024658203,69,1716146283.9575644
4.691887855529785,4.409988880157471,71,1716146288.3152058
4.723037242889404,4.492527484893799,71,1716146292.6467638
4.70282506942749,4.271623134613037,72,1716146297.0723066
4.6287946701049805,4.246337413787842,75,1716146301.6853774
4.716347694396973,4.347903251647949,79,1716146306.507042
4.735950469970703,4.0972442626953125,80,1716146311.4074829
4.810362815856934,4.0781331062316895,83,1716146316.4809904
4.7175984382629395,3.920499324798584,91,1716146322.2323074
4.842402458190918,4.0937089920043945,92,1716146328.042387
4.76386022567749,3.9095537662506104,102,1716146334.484301
4.789231777191162,3.5858492851257324,106,1716146341.260895
4.808041572570801,3.7834298610687256,107,1716146348.2024693
4.6790666580200195,3.539025068283081,110,1716146355.304812
4.814074993133545,3.768267869949341,113,1716146362.588745
4.774350643157959,3.4431331157684326,117,1716146370.0563114
4.605727672576904,3.423884153366089,119,1716146377.5459285
4.69888973236084,3.4015185832977295,121,1716146385.139808
4.755573749542236,3.4808285236358643,124,1716146392.9336772
4.712106227874756,3.3836147785186768,129,1716146400.8870215
4.732664585113525,3.4228312969207764,135,1716146409.4073067
4.816157817840576,3.432504177093506,142,1716146418.3769407
4.695324897766113,3.0903420448303223,164,1716146428.9133327
4.768882751464844,2.920703887939453,172,1716146440.184743
4.689387798309326,2.835988759994507,180,1716146451.8225691
4.8086676597595215,3.188887119293213,183,1716146463.8462243
4.693509101867676,3.1210386753082275,186,1716146476.0976977
4.709343433380127,2.7386207580566406,201,1716146489.3731136
4.6606340408325195,2.8663830757141113,203,1716146502.8756218
4.7056660652160645,2.745326519012451,209,1716146516.7309139
4.728734493255615,2.789459705352783,225,1716146531.6670532
4.6475653648376465,2.496142864227295,226,1716146546.7385585
4.748890399932861,2.1970295906066895,335,1716146570.2298613
4.571173667907715,7.575356960296631,23,1716146581.6906464
4.6619415283203125,6.93174409866333,28,1716146583.5092518
4.728705406188965,5.643238067626953,46,1716146586.371817
4.772522449493408,5.214934349060059,46,1716146589.2107272
4.834570407867432,5.428345203399658,49,1716146592.2442648
4.761939525604248,5.016152381896973,55,1716146595.676997
4.586912631988525,4.425140380859375,67,1716146599.828664
4.703275680541992,4.363404750823975,73,1716146604.3355935
4.709065914154053,4.087587356567383,84,1716146609.4644842
4.781069278717041,4.027063369750977,85,1716146614.5997338
4.743696212768555,4.209291458129883,85,1716146619.7199569
4.7080583572387695,4.024131774902344,89,1716146625.1120865
4.679572105407715,3.723021984100342,98,1716146631.0781596
4.665846347808838,3.5735702514648438,105,1716146637.430095
4.7755255699157715,3.5385489463806152,125,1716146645.0411515
4.698040962219238,3.4694507122039795,128,1716146652.7646158
4.672236919403076,3.2817084789276123,131,1716146660.8327646
4.7048726081848145,3.0696938037872314,176,1716146672.0755436
4.795492649078369,3.066106081008911,178,1716146683.231814
4.726712226867676,2.9119391441345215,182,1716146694.8146567
4.766395568847656,2.8659462928771973,193,1716146707.3305264
4.78768253326416,2.9757041931152344,196,1716146720.0227103
4.739641189575195,2.841926097869873,214,1716146733.9963713
4.694234848022461,2.5510048866271973,221,1716146748.7180085
4.702365875244141,2.6071858406066895,235,1716146764.3315563
4.741135120391846,2.6942713260650635,240,1716146780.356029
4.742399215698242,2.4719090461730957,259,1716146798.233203
4.703095436096191,2.29738712310791,311,1716146819.9342701
4.703449249267578,2.3452038764953613,331,1716146843.4266098
4.697028636932373,2.2887744903564453,336,1716146867.1920428
4.768448829650879,2.2559385299682617,350,1716146892.0070567
4.725683212280273,2.0752298831939697,391,1716146920.1366832
4.717756271362305,2.069364309310913,395,1716146947.8389978
4.716236591339111,1.9984067678451538,399,1716146976.356354
4.686138153076172,2.057605266571045,408,1716147005.6558032
4.766013145446777,2.163848638534546,427,1716147036.1137292
4.797664642333984,2.2058193683624268,444,1716147067.7744596
4.704497814178467,1.8471765518188477,485,1716147102.609107
4.725510597229004,1.929378867149353,555,1716147143.22505
4.763794422149658,1.8709747791290283,603,1716147186.1369023
4.731622219085693,1.7383488416671753,640,1716147233.0801172
4.71986722946167,1.6197962760925293,716,1716147285.277484
4.711840629577637,1.6941028833389282,766,1716147341.0381513
