loss,grad_norm,batchsize,time
4.632990837097168,8.378422737121582,20,1721207611.620478
4.624103546142578,7.695519924163818,21,1721207612.4943113
4.803069591522217,7.482883453369141,23,1721207613.401542
4.643364429473877,7.85480260848999,23,1721207614.277484
4.694270133972168,7.1207122802734375,25,1721207615.208623
4.754862308502197,7.191814422607422,26,1721207616.1718092
4.63629150390625,7.2443976402282715,27,1721207617.1408637
4.766369819641113,6.551631450653076,28,1721207618.1200883
4.679894924163818,6.360109806060791,29,1721207619.153936
4.7453532218933105,6.64750862121582,29,1721207620.179195
4.7934675216674805,6.69082498550415,30,1721207621.2496233
4.662010192871094,5.999324321746826,35,1721207622.3473086
4.699916362762451,6.016610622406006,37,1721207623.4649107
4.683498859405518,5.903094291687012,39,1721207624.5869908
4.7812676429748535,5.711529731750488,41,1721207625.6900442
4.789318084716797,5.885742664337158,41,1721207626.6408541
4.7093729972839355,5.365081787109375,42,1721207627.6058888
4.741394519805908,5.9217681884765625,43,1721207628.597145
4.726688861846924,5.488056659698486,44,1721207629.6015031
4.861116886138916,5.444230079650879,44,1721207630.5788798
4.74582576751709,5.403789043426514,46,1721207631.592698
4.738743305206299,5.678549766540527,46,1721207632.5745811
4.891834735870361,5.415204048156738,46,1721207633.7471087
4.780747890472412,5.129479885101318,51,1721207634.8981483
4.669520854949951,4.7151079177856445,51,1721207635.9467223
4.766586780548096,4.896132946014404,52,1721207637.0169432
4.628986358642578,5.332198143005371,53,1721207638.1017716
4.753428936004639,5.560314655303955,53,1721207639.1480389
4.735818386077881,4.825778484344482,54,1721207640.2355564
4.635460376739502,4.819642066955566,54,1721207641.3020687
4.738209247589111,4.9956865310668945,55,1721207642.3753438
4.728829860687256,5.251481533050537,55,1721207643.4122684
4.835249423980713,5.083457946777344,56,1721207644.4854124
4.675901889801025,4.855297088623047,57,1721207645.65639
4.72845983505249,4.725836277008057,60,1721207646.8073545
4.681535243988037,4.953004837036133,61,1721207647.996688
4.6446099281311035,4.513210773468018,63,1721207649.163306
4.613913536071777,4.486277103424072,63,1721207650.3107889
4.7114362716674805,4.504509449005127,65,1721207651.4942071
4.627539157867432,4.553374767303467,67,1721207652.65741
4.811398506164551,4.921721458435059,68,1721207653.863519
4.701843738555908,4.311229705810547,77,1721207655.154201
4.755882263183594,4.1378326416015625,78,1721207656.5894783
4.8088531494140625,4.3856000900268555,79,1721207658.2428367
4.734619617462158,4.332502365112305,80,1721207659.6375265
4.736976146697998,4.104178428649902,82,1721207660.9603798
4.657294273376465,4.257924556732178,82,1721207662.239998
4.793761253356934,4.140599727630615,84,1721207663.7631822
4.69252872467041,3.888441324234009,99,1721207665.6517508
4.680356502532959,3.572662115097046,105,1721207667.745195
4.79738712310791,3.508641481399536,108,1721207669.6535795
4.666721343994141,3.444737434387207,110,1721207671.2742088
4.78595495223999,3.6517534255981445,112,1721207672.940761
4.795702934265137,3.959670305252075,114,1721207674.6532567
4.705679416656494,3.6142919063568115,116,1721207676.943236
4.664613723754883,3.1497676372528076,129,1721207679.4000185
4.688879489898682,3.2541019916534424,144,1721207682.042486
4.69586181640625,3.1086456775665283,148,1721207684.1726453
4.761669635772705,3.1514906883239746,151,1721207686.1846576
4.727126598358154,3.0888490676879883,170,1721207688.3971293
4.7134318351745605,2.7540862560272217,201,1721207690.946579
4.721203327178955,2.8336241245269775,206,1721207693.53547
4.666500568389893,2.5701003074645996,207,1721207696.138545
4.698427200317383,2.5336756706237793,229,1721207698.9911647
4.758987903594971,2.6981871128082275,232,1721207702.0178592
4.722563743591309,2.516740322113037,250,1721207705.1246822
4.780100345611572,2.5290300846099854,261,1721207708.458591
4.7111101150512695,2.419710159301758,266,1721207711.8165574
4.703333377838135,2.3468661308288574,273,1721207715.1128793
4.776104927062988,6.944486618041992,32,1721207764.3474648
4.755560398101807,5.942722797393799,38,1721207765.3195205
4.826696395874023,5.3251051902771,48,1721207766.3605647
4.755223751068115,4.968203544616699,58,1721207767.4842205
4.724202632904053,4.628210067749023,59,1721207768.5912824
4.761853218078613,4.676914691925049,62,1721207769.7361238
4.798823356628418,4.918364524841309,66,1721207770.9054387
4.849117279052734,4.417879581451416,71,1721207772.130473
4.668989658355713,4.360982418060303,73,1721207773.367776
4.666475296020508,4.345330238342285,74,1721207774.7101
4.769167900085449,4.0314130783081055,85,1721207776.280257
4.801277160644531,3.8791613578796387,93,1721207777.8395994
4.708431720733643,3.7550463676452637,102,1721207779.478502
4.777195930480957,3.62331485748291,106,1721207780.9972935
4.702884197235107,3.579054832458496,111,1721207782.5725691
4.718352317810059,3.6371209621429443,111,1721207784.097599
4.683329105377197,3.323498249053955,120,1721207785.7466745
4.761487007141113,3.414006471633911,134,1721207787.5519023
4.790040969848633,3.4625461101531982,137,1721207789.4152014
4.773509502410889,3.3145837783813477,142,1721207791.2867303
4.743152141571045,3.058601140975952,155,1721207793.356519
4.7749481201171875,3.169935464859009,160,1721207795.5637171
4.778068542480469,3.145231246948242,166,1721207797.7237287
4.690462589263916,2.754976272583008,185,1721207800.0757492
4.737227439880371,2.660963773727417,210,1721207802.6899633
4.685929775238037,2.626002311706543,216,1721207805.3551755
4.756497859954834,2.7820894718170166,216,1721207808.0208297
4.704169273376465,2.571176290512085,223,1721207810.77984
4.721798896789551,2.5923781394958496,227,1721207813.5956764
4.748815536499023,2.481869697570801,248,1721207816.599446
4.70542573928833,2.371450901031494,259,1721207820.0607796
4.753079414367676,2.7799551486968994,267,1721207823.252727
4.69356632232666,2.3194315433502197,269,1721207826.471646
4.801025867462158,2.4464519023895264,274,1721207829.6900966
4.7522873878479,2.4039487838745117,279,1721207833.0642762
4.7394561767578125,2.434427499771118,282,1721207836.4977865
4.746109485626221,2.4502527713775635,282,1721207839.8934772
4.667352676391602,2.275834321975708,286,1721207843.337812
4.775104999542236,2.5368313789367676,287,1721207846.7608109
4.761260509490967,2.4739129543304443,289,1721207850.1823232
