"dot(grad,param)",epoch,grad_norm,learning_rate,param_size,step,step_size,train/accuracy_epoch,train/accuracy_step,train/loss,val/accuracy,val/loss,val/precision,val/recall
0.7125587463378906,0,24.60468292236328,5.0,125.62483978271484,0,123.0234146118164,,0.11632762849330902,2.6433756351470947,,,,
0.34509122371673584,0,1.1659809350967407,5.0,125.74632263183594,1,5.829904556274414,,0.08859444409608841,2.4409985542297363,,,,
-0.261991947889328,0,0.2860679030418396,5.0,125.7648696899414,2,1.4303395748138428,,0.35485774278640747,1.9408117532730103,,,,
-0.4347101151943207,0,0.26271772384643555,5.0,125.78901672363281,3,1.3135886192321777,,0.5415347218513489,1.5677869319915771,,,,
-0.5176436901092529,0,0.2415611445903778,5.0,125.81538391113281,4,1.2078057527542114,,0.6034989356994629,1.2370458841323853,,,,
-0.4421239495277405,0,0.21635732054710388,5.0,125.83760070800781,5,1.0817866325378418,,0.6587309241294861,1.0505343675613403,,,,
-0.46768662333488464,0,0.20444265007972717,5.0,125.86033630371094,6,1.0222132205963135,,0.7465432286262512,0.8787648677825928,,,,
-0.45557501912117004,0,0.20076699554920197,5.0,125.88243865966797,7,1.0038349628448486,,0.7941089868545532,0.7165616750717163,,,,
-0.3819255530834198,0,0.21448825299739838,5.0,125.90216827392578,8,1.0724412202835083,,0.8314078450202942,0.6391106247901917,,,,
-0.3313593566417694,0,0.2358650267124176,5.0,125.92085266113281,9,1.1793251037597656,,0.8337142467498779,0.57469242811203,,,,
-0.2789039611816406,0,0.31312084197998047,5.0,125.94165802001953,10,1.5656042098999023,,0.8395763635635376,0.5260336995124817,,,,
-0.26885634660720825,0,0.46556150913238525,5.0,125.97384643554688,11,2.3278074264526367,,0.8301223516464233,0.5575032234191895,,,,
-0.14065560698509216,0,0.491748183965683,5.0,126.00341033935547,12,2.4587409496307373,,0.8000317215919495,0.6610955595970154,,,,
-0.18774890899658203,0,0.38309839367866516,5.0,126.02542114257812,13,1.9154919385910034,,0.8192015886306763,0.5462215542793274,,,,
-0.22111870348453522,0,0.24687521159648895,5.0,126.04024505615234,14,1.234376072883606,,0.8786458969116211,0.41588133573532104,,,,
-0.2234255075454712,0,0.14801062643527985,5.0,126.05127716064453,15,0.740053117275238,,0.9127600193023682,0.3204715847969055,,,,
-0.20056308805942535,0,0.11850093305110931,5.0,126.06062316894531,16,0.5925046801567078,,0.9280239343643188,0.3071610927581787,,,,
-0.18852920830249786,0,0.10917110741138458,5.0,126.06928253173828,17,0.5458555221557617,,0.9363062381744385,0.2672133147716522,,,,
-0.19147665798664093,0,0.09823600947856903,5.0,126.07782745361328,18,0.49118006229400635,,0.9346559047698975,0.22945424914360046,,,,
-0.1886034905910492,0,0.09710139781236649,5.0,126.08625030517578,19,0.48550698161125183,,0.944871187210083,0.20250654220581055,,,,
-0.16781961917877197,0,0.11592023819684982,5.0,126.09423828125,20,0.5796011686325073,,0.9318597316741943,0.22103938460350037,,,,
-0.14730094373226166,0,0.11460482329130173,5.0,126.10137176513672,21,0.5730240941047668,,0.9374765157699585,0.22835220396518707,,,,
-0.1549772173166275,0,0.11257024109363556,5.0,126.10877990722656,22,0.5628511905670166,,0.9580122828483582,0.17704561352729797,,,,
-0.13019533455371857,0,0.12767764925956726,5.0,126.11555480957031,23,0.6383882761001587,,0.9483098387718201,0.18449167907238007,,,,
-0.13129402697086334,0,0.160453200340271,5.0,126.12330627441406,24,0.802266001701355,,0.9491761922836304,0.19078890979290009,,,,
-0.14571702480316162,0,0.14681705832481384,5.0,126.1312255859375,25,0.7340853214263916,,0.9571666121482849,0.1627509891986847,,,,
-0.10645423084497452,0,0.13336360454559326,5.0,126.13720703125,26,0.6668180227279663,,0.9498401284217834,0.17726139724254608,,,,
-0.1262393742799759,0,0.12330512702465057,5.0,126.14371490478516,27,0.6165256500244141,,0.9644634127616882,0.14498242735862732,,,,
-0.12882769107818604,0,0.12771731615066528,5.0,126.15044403076172,28,0.6385865807533264,,0.9583985805511475,0.14862211048603058,,,,
-0.08845643699169159,0,0.15087978541851044,5.0,126.15620422363281,29,0.7543989419937134,,0.9486328363418579,0.17047670483589172,,,,
-0.10460806638002396,0,0.20592162013053894,5.0,126.16455078125,30,1.029608130455017,,0.9518731832504272,0.17802491784095764,,,,
-0.10287661850452423,0,0.17637000977993011,5.0,126.17170715332031,31,0.8818500638008118,,0.9515128135681152,0.16992664337158203,,,,
-0.12457332760095596,0,0.14278098940849304,5.0,126.17866516113281,32,0.7139049768447876,,0.9583815932273865,0.13887569308280945,,,,
-0.07790479063987732,0,0.13828784227371216,5.0,126.18363952636719,33,0.6914392113685608,,0.951939046382904,0.1586456149816513,,,,
-0.08182937651872635,0,0.13128159940242767,5.0,126.1885986328125,34,0.6564080119132996,,0.9477248787879944,0.161961168050766,,,,
-0.10622449219226837,0,0.10962699353694916,5.0,126.1939926147461,35,0.548134982585907,,0.9723870754241943,0.10616036504507065,,,,
-0.09194467216730118,0,0.10364949703216553,5.0,126.19869995117188,36,0.5182474851608276,,0.9656643867492676,0.11441551148891449,,,,
-0.08784051984548569,0,0.12749888002872467,5.0,126.20379638671875,37,0.6374943852424622,,0.9646091461181641,0.1215546578168869,,,,
-0.08369874954223633,0,0.15138578414916992,5.0,126.2093734741211,38,0.7569289207458496,,0.9605129957199097,0.1377115249633789,,,,
-0.08015163987874985,0,0.13423648476600647,5.0,126.21434020996094,39,0.67118239402771,,0.9661573171615601,0.12599563598632812,,,,
-0.08227626234292984,0,0.14988300204277039,5.0,126.21981811523438,40,0.7494150400161743,,0.964381754398346,0.1294141262769699,,,,
-0.061953287571668625,0,0.12443150579929352,5.0,126.22380828857422,41,0.6221575140953064,,0.9544779062271118,0.1323164403438568,,,,
-0.07402204722166061,0,0.12503677606582642,5.0,126.2282943725586,42,0.6251838803291321,,0.9633848071098328,0.11364446580410004,,,,
-0.08101904392242432,0,0.11793408542871475,5.0,126.23287963867188,43,0.5896704196929932,,0.9737690687179565,0.10546322911977768,,,,
-0.06953895837068558,0,0.12042761594057083,5.0,126.23706817626953,44,0.602138102054596,,0.972098171710968,0.11293703317642212,,,,
