"dot(grad,param)","dot(grad[n-10], grad[n])","dot(grad[n-11], grad[n])","dot(grad[n-12], grad[n])","dot(grad[n-13], grad[n])","dot(grad[n-14], grad[n])","dot(grad[n-15], grad[n])","dot(grad[n-16], grad[n])","dot(grad[n-17], grad[n])","dot(grad[n-18], grad[n])","dot(grad[n-19], grad[n])","dot(grad[n-1], grad[n])","dot(grad[n-20], grad[n])","dot(grad[n-2], grad[n])","dot(grad[n-3], grad[n])","dot(grad[n-4], grad[n])","dot(grad[n-5], grad[n])","dot(grad[n-6], grad[n])","dot(grad[n-7], grad[n])","dot(grad[n-8], grad[n])","dot(grad[n-9], grad[n])","dot(step[n-10], step[n])","dot(step[n-11], step[n])","dot(step[n-12], step[n])","dot(step[n-13], step[n])","dot(step[n-14], step[n])","dot(step[n-15], step[n])","dot(step[n-16], step[n])","dot(step[n-17], step[n])","dot(step[n-18], step[n])","dot(step[n-19], step[n])","dot(step[n-1], step[n])","dot(step[n-20], step[n])","dot(step[n-2], step[n])","dot(step[n-3], step[n])","dot(step[n-4], step[n])","dot(step[n-5], step[n])","dot(step[n-6], step[n])","dot(step[n-7], step[n])","dot(step[n-8], step[n])","dot(step[n-9], step[n])",epoch,grad_norm,learning_rate,param_norm,step,step_size,test/accuracy,test/loss,test/precision,test/recall,train/accuracy_epoch,train/accuracy_step,train/loss,val/accuracy,val/loss,val/precision,val/recall
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,-1,,,,,,0.105042465031147,,,,,,
0.8433845639228821,,,,,,,,,,,532.9053955078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25.449106216430664,0.002344762673601508,25.5560302734375,0,0.05967211723327637,,,,,,0.08814673125743866,2.7765049934387207,,,,
-0.12017783522605896,,,,,,,,,,,247.834716796875,,252.53990173339844,,,,,,,,,,,,,,,,,,8.863652510626707e-06,,,,,,,,,,1,14.645838737487793,1.5252847333613317e-05,25.5560302734375,1,0.00022339168936014175,,,,,,0.4227783679962158,1.7465933561325073,,,,
-0.11933493614196777,,,,,,,,,,,163.7005615234375,,247.9721221923828,248.193603515625,,,,,,,,,,,,,,,,,3.7940864672236785e-08,,8.83503435034072e-06,,,,,,,,1,14.854084014892578,1.5195223568298388e-05,25.5560302734375,2,0.0002257123269373551,,,,,,0.43947339057922363,1.7426620721817017,,,,
-0.0917363166809082,,,,,,,,,,,169.21885681152344,,167.7966766357422,254.58265686035156,255.14080810546875,,,,,,,,,,,,,,,,4.037959655533996e-08,,4.0192215777778983e-08,9.374223736813292e-06,,,,,,,1,14.993147850036621,1.5703872122685425e-05,25.5560302734375,3,0.00023545138537883759,,,,,,0.40899908542633057,1.7763673067092896,,,,
-0.15035071969032288,,,,,,,,,,,167.37503051757812,,164.28744506835938,159.2336883544922,240.1499786376953,237.98953247070312,,,,,,,,,,,,,,,3.892284894391196e-08,,3.696744244052752e-08,3.596618824985853e-08,8.338503903360106e-06,,,,,,1,14.432737350463867,1.4808364539931063e-05,25.5560302734375,4,0.00021372603077907115,,,,,,0.43521207571029663,1.715476632118225,,,,
-0.13532710075378418,,,,,,,,,,,162.97784423828125,,170.29421997070312,169.30758666992188,164.44290161132812,249.0907440185547,251.15911865234375,,,,,,,,,,,,,,3.6419727678094205e-08,,4.035583955896982e-08,3.882264820731507e-08,3.785003599432457e-08,8.813674867269583e-06,,,,,1,14.677387237548828,1.5090431588760111e-05,25.5560302734375,5,0.00022148860443849117,,,,,,0.4254671335220337,1.7354357242584229,,,,
-0.1110130175948143,,,,,,,,,,,161.9183349609375,,158.97592163085938,169.995361328125,164.3695526123047,161.44140625,248.95025634765625,251.81246948242188,,,,,,,,,,,,,3.758460564995403e-08,,3.62118228736108e-08,4.1063493938509055e-08,3.8418434655795863e-08,3.787729241366833e-08,8.978919140645303e-06,,,,1,14.52519702911377,1.538196374895051e-05,25.5560302734375,6,0.00022342712327372283,,,,,,0.4173617959022522,1.7552952766418457,,,,
-0.14933031797409058,,,,,,,,,,,169.03823852539062,,168.00701904296875,165.7683563232422,175.43899536132812,171.26626586914062,169.07864379882812,248.54750061035156,250.88125610351562,,,,,,,,,,,,3.873596199355234e-08,,3.776979440317518e-08,3.6569829831023526e-08,4.1043712428745494e-08,3.8769876198330167e-08,3.841980600327588e-08,8.682063707965426e-06,,,1,15.097269058227539,1.4897585060680285e-05,25.5560302734375,7,0.00022491355775855482,,,,,,0.42589467763900757,1.7218716144561768,,,,
-0.16551420092582703,,,,,,,,,,,175.20233154296875,,166.4586944580078,167.757080078125,164.61814880371094,172.94308471679688,170.02505493164062,165.90719604492188,249.81732177734375,252.7050323486328,,,,,,,,,,,3.8308396455022375e-08,,3.7580115019864024e-08,3.715528862358042e-08,3.5778697338173515e-08,3.986104246678224e-08,3.791919667150978e-08,3.714097829288221e-08,8.597236956120469e-06,,1,14.922502517700195,1.4677076251246035e-05,25.5560302734375,8,0.00021901952277403325,,,,,,0.44700658321380615,1.7059249877929688,,,,
-0.14018841087818146,238.87644958496094,,,,,,,,,,160.29244995117188,,163.13088989257812,156.38259887695312,158.74380493164062,154.8845672607422,162.78921508789062,161.9803466796875,157.53602600097656,236.8687286376953,,,,,,,,,,,3.524203862070863e-08,,3.6404884440344176e-08,3.603375020588828e-08,3.588444030810933e-08,3.435766160464482e-08,3.8294977855457546e-08,3.687038230282269e-08,3.599478759497288e-08,8.319816515722778e-06,1,14.223052024841309,1.4979908883105963e-05,25.5560302734375,9,0.00021306089183781296,,,,,,0.44397568702697754,1.7277048826217651,,,,
-0.14595970511436462,244.8751678466797,246.17160034179688,,,,,,,,,155.349853515625,,166.50108337402344,167.04969787597656,160.2943572998047,163.23118591308594,158.0196075439453,164.88320922851562,165.3726806640625,159.83941650390625,8.540660928701982e-06,,,,,,,,,,3.461548914174273e-08,,3.635008383184868e-08,3.701773465536462e-08,3.667585701805365e-08,3.663974013079496e-08,3.480703369973526e-08,3.8515040046149807e-08,3.737838838446805e-08,3.626463396244617e-08,1,14.562000274658203,1.4874740372761153e-05,25.5560302734375,10,0.00021660684433300048,,,,,,0.4445255398750305,1.7202415466308594,,,,
-0.17837727069854736,167.54977416992188,248.7235107421875,249.26681518554688,,,,,,,,162.67800903320312,,158.79501342773438,168.02194213867188,171.2202606201172,163.8384552001953,165.84133911132812,164.12228393554688,171.5174102783203,167.1779327392578,3.683288696265663e-08,8.405449989368208e-06,,,,,,,,,3.487550515046678e-08,,3.428370121127955e-08,3.554240990411017e-08,3.6763147193141776e-08,3.632205647363662e-08,3.6069110365133383e-08,3.502818657352691e-08,3.88200618317569e-08,3.661241620989131e-08,1,14.736139297485352,1.4412621567316819e-05,25.5560302734375,11,0.00021238710905890912,,,,,,0.4566619396209717,1.6861571073532104,,,,
-0.19766932725906372,155.69158935546875,151.14743041992188,230.4326171875,233.1992950439453,,,,,,,153.9525146484375,,151.05868530273438,146.6981201171875,156.71810913085938,160.47439575195312,152.97976684570312,153.38897705078125,150.63754272460938,158.53854370117188,3.344992194342922e-08,3.259673064803792e-08,7.639519935764838e-06,,,,,,,,3.137267157171664e-08,,3.1770063912972546e-08,3.1070928940835074e-08,3.252220537319772e-08,3.380216284654125e-08,3.327122399809923e-08,3.272791460062763e-08,3.154008609840275e-08,3.5201672687890095e-08,1,13.874604225158691,1.4139120139589068e-05,25.5560302734375,12,0.00019617572252172977,,,,,,0.44727444648742676,1.664934754371643,,,,
-0.20421546697616577,163.5150146484375,162.3451385498047,156.371826171875,244.089111328125,241.7291259765625,,,,,,146.62034606933594,,159.7891387939453,156.28836059570312,152.1834716796875,163.04849243164062,164.90650939941406,156.01251220703125,161.602294921875,157.3473358154297,3.636876400037181e-08,3.493923728115078e-08,3.378113078156275e-08,8.106107088678982e-06,,,,,,,2.9361748588030423e-08,,3.261785508357207e-08,3.292617734018677e-08,3.2288152596038344e-08,3.389382996488166e-08,3.479511434534288e-08,3.398879755422968e-08,3.453945041087536e-08,3.300140960504905e-08,1,14.392404556274414,1.4163349078444298e-05,25.5560302734375,13,0.00020384548406582326,,,,,,0.4511363208293915,1.666848063468933,,,,
-0.1936352550983429,159.7477264404297,165.6456756591797,163.14572143554688,161.43675231933594,238.92567443847656,242.571044921875,,,,,155.0504913330078,,150.44346618652344,162.54159545898438,157.66195678710938,155.27157592773438,164.6337432861328,166.53884887695312,158.62315368652344,161.10238647460938,3.378743684834262e-08,3.7153370158193866e-08,3.5407460075020936e-08,3.5169477996532805e-08,8.001565220183693e-06,,,,,,3.136538140324774e-08,,3.0381318794070467e-08,3.345948584865255e-08,3.349566668475745e-08,3.322100283753571e-08,3.451187780001419e-08,3.543578941389569e-08,3.484900190642293e-08,3.4722830832834006e-08,1,14.374381065368652,1.4282759366324171e-05,25.5560302734375,14,0.00020530664187390357,,,,,,0.47279632091522217,1.6761817932128906,,,,
-0.16789013147354126,162.884521484375,157.19761657714844,165.45724487304688,162.79698181152344,160.210693359375,237.38333129882812,242.219970703125,,,,155.26861572265625,,154.335693359375,148.17880249023438,161.38990783691406,159.76806640625,153.17849731445312,167.214111328125,164.47296142578125,159.46142578125,3.567214434951893e-08,3.3783287278765783e-08,3.770863798990831e-08,3.5900633577057306e-08,3.546428217759967e-08,8.077895472524688e-06,,,,,3.218440980390369e-08,,3.172343809865197e-08,3.0405878703732014e-08,3.37572423347865e-08,3.448958096896604e-08,3.330086784103514e-08,3.5617368610019184e-08,3.5559814648422616e-08,3.5597167880041525e-08,1,14.449773788452148,1.4512715097225737e-05,25.5560302734375,15,0.00020970635523553938,,,,,,0.43631401658058167,1.6937239170074463,,,,
-0.1347074806690216,159.66868591308594,164.73184204101562,159.75186157226562,167.77499389648438,165.7035369873047,162.5657501220703,239.4381866455078,243.22909545898438,,,161.0709991455078,,160.60516357421875,156.9591522216797,151.48477172851562,163.51243591308594,161.8510284423828,157.09124755859375,166.3878173828125,168.79556274414062,3.686248462031472e-08,3.7310552869485036e-08,3.5506332096701954e-08,3.9544463703578003e-08,3.779121726665835e-08,3.721638819342843e-08,8.426469321420882e-06,,,,3.508468893187455e-08,,3.442887930305005e-08,3.33658647377888e-08,3.214724486610976e-08,3.537088844041136e-08,3.6134174763446936e-08,3.531948067347912e-08,3.66531907047829e-08,3.774237100628852e-08,1,14.62710189819336,1.5009008166089188e-05,25.5560302734375,16,0.00021953960822429508,,,,,,0.42205601930618286,1.7297511100769043,,,,
-0.13268506526947021,169.40208435058594,163.2805633544922,165.376708984375,160.19668579101562,168.75587463378906,166.4029083251953,161.64761352539062,237.05763244628906,241.96395874023438,,160.77125549316406,,161.75057983398438,159.69483947753906,158.86192321777344,152.0508575439453,166.0025634765625,161.59884643554688,157.21173095703125,169.81459045410156,3.792497693666519e-08,3.774312062887475e-08,3.750317389972224e-08,3.564937145483782e-08,3.9825120978775885e-08,3.799791414849096e-08,3.7051989920655615e-08,8.35302853374742e-06,,,3.6261983638041784e-08,,3.527643599454677e-08,3.4276279592404535e-08,3.38123768983678e-08,3.23075326491562e-08,3.595404507450439e-08,3.612252896800783e-08,3.539044257649948e-08,3.745466159443822e-08,1,14.620545387268066,1.502767645433778e-05,25.5560302734375,17,0.00021971407113596797,,,,,,0.4209822118282318,1.7310600280761719,,,,
-0.18675461411476135,155.93899536132812,156.07823181152344,149.7183837890625,150.77500915527344,149.41015625,154.85189819335938,153.3577117919922,152.44583129882812,226.72122192382812,228.8407440185547,149.96580505371094,,152.44284057617188,149.55624389648438,149.5873565673828,144.3653564453125,142.84800720214844,154.2024688720703,151.23301696777344,146.05641174316406,3.275089710541579e-08,3.327271613784433e-08,3.2954677209318106e-08,3.255823344261444e-08,3.166054796110984e-08,3.479788190929867e-08,3.334604059546109e-08,3.327349773485366e-08,7.607151928823441e-06,,3.224888445174656e-08,,3.274099213967929e-08,3.105873958020311e-08,3.0572920195481856e-08,2.925897746308692e-08,2.8901952831006383e-08,3.180272756253544e-08,3.21905417877133e-08,3.130845627197232e-08,1,13.837085723876953,1.4309730431705248e-05,25.5560302734375,18,0.00019800600421149284,,,,,,0.4535253047943115,1.6782684326171875,,,,
