"dot(grad,param)",epoch,grad_norm,learning_rate,param_size,step,step_size,train/accuracy_epoch,train/accuracy_step,train/loss,val/accuracy,val/loss,val/precision,val/recall
0.8804646134376526,0,25.525188446044922,1.0,1514.1397705078125,0,25.525188446044922,,0.0966891497373581,2.797628879547119,,,,
0.8006550073623657,0,0.2903631031513214,1.0,2528.455078125,1,0.2903631031513214,,0.10181787610054016,2.775428295135498,,,,
0.42133617401123047,0,0.33585816621780396,1.0,3311.87158203125,2,0.33585816621780396,,0.1172887459397316,2.509366035461426,,,,
-0.04899383336305618,0,0.25256431102752686,1.0,3953.93212890625,3,0.25256431102752686,,0.2839704751968384,1.9814066886901855,,,,
-0.019621938467025757,0,0.23851121962070465,1.0,4496.77099609375,4,0.23851121962070465,,0.3367587924003601,1.8945484161376953,,,,
-0.10716933012008667,0,0.1973673552274704,1.0,4964.728515625,5,0.1973673552274704,,0.4209262728691101,1.6686210632324219,,,,
-0.1579054296016693,0,0.12916919589042664,1.0,5373.474609375,6,0.12916919589042664,,0.46088945865631104,1.4243525266647339,,,,
-0.03762266784906387,0,0.11712963134050369,1.0,5733.8779296875,7,0.11712963134050369,,0.5423876643180847,1.3141354322433472,,,,
0.0015671402215957642,0,0.11202355474233627,1.0,6053.88671875,8,0.11202355474233627,,0.6054139137268066,1.1295298337936401,,,,
0.11119959503412247,0,0.11915121972560883,1.0,6339.54931640625,9,0.11915121972560883,,0.6130008697509766,1.0867143869400024,,,,
0.11038670688867569,0,0.08758281916379929,1.0,6595.619140625,10,0.08758281916379929,,0.6689762473106384,0.9967943429946899,,,,
0.153525248169899,0,0.09998849779367447,1.0,6825.92041015625,11,0.09998849779367447,,0.6937195658683777,0.9554941654205322,,,,
0.09399144351482391,0,0.10692977905273438,1.0,7033.5927734375,12,0.10692977905273438,,0.7440185546875,0.811812162399292,,,,
0.12408428639173508,0,0.08153470605611801,1.0,7221.26318359375,13,0.08153470605611801,,0.7533392310142517,0.7731560468673706,,,,
0.09719839692115784,0,0.05701497197151184,1.0,7391.15966796875,14,0.05701497197151184,,0.7671308517456055,0.6819085478782654,,,,
0.12484051287174225,0,0.05890375003218651,1.0,7545.18505859375,15,0.05890375003218651,,0.8061317801475525,0.6892707943916321,,,,
0.036632221192121506,0,0.06276493519544601,1.0,7684.98193359375,16,0.06276493519544601,,0.8246852159500122,0.564925491809845,,,,
0.08300018310546875,0,0.05594198405742645,1.0,7811.98583984375,17,0.05594198405742645,,0.8092789053916931,0.5933480858802795,,,,
0.05601801723241806,0,0.05192502960562706,1.0,7927.45751953125,18,0.05192502960562706,,0.8177587985992432,0.5466548800468445,,,,
0.03360074758529663,0,0.0688914805650711,1.0,8032.515625,19,0.0688914805650711,,0.829692006111145,0.5326416492462158,,,,
0.07043104618787766,0,0.054735034704208374,1.0,8128.15380859375,20,0.054735034704208374,,0.8320833444595337,0.5289692282676697,,,,
0.06785540282726288,0,0.047457531094551086,1.0,8215.25,21,0.047457531094551086,,0.8505321741104126,0.48290330171585083,,,,
0.04862777516245842,0,0.06259018927812576,1.0,8294.595703125,22,0.06259018927812576,,0.8536511659622192,0.4347009062767029,,,,
0.07652422785758972,0,0.042814526706933975,1.0,8366.8994140625,23,0.042814526706933975,,0.8551795482635498,0.46816739439964294,,,,
