loss,grad_norm,batchsize,time
2.847569227218628,70.90670013427734,20,1715530964.924974
2.473182201385498,74.14910888671875,21,1715530981.220049
3.118065595626831,77.1228256225586,24,1715530997.0182471
2.5034267902374268,67.18565368652344,26,1715531013.6189468
2.4431400299072266,66.9002685546875,25,1715531108.8828373
2.8292460441589355,56.7480354309082,30,1715531109.2762258
2.4867498874664307,59.636165618896484,31,1715531109.6828766
2.5466647148132324,59.88367462158203,31,1715531110.094856
2.629387378692627,54.73605728149414,36,1715531110.5638604
2.7046139240264893,58.4417610168457,37,1715531111.0457075
2.684598684310913,56.30486297607422,39,1715531111.5506635
2.8963663578033447,53.46535873413086,44,1715531112.118171
2.8226468563079834,50.64875793457031,45,1715531112.6946385
2.648815870285034,49.047279357910156,46,1715531113.2845073
2.814568281173706,52.58800506591797,46,1715531113.877743
2.689877510070801,48.52935028076172,48,1715531114.4973412
2.877720355987549,44.571414947509766,49,1715531115.1291723
2.7394986152648926,54.49910354614258,49,1715531115.7516866
2.7168009281158447,48.18604278564453,50,1715531116.3939226
2.886113166809082,46.585880279541016,51,1715531117.0483425
2.629929542541504,47.43336868286133,52,1715531117.7122886
2.7831978797912598,45.799903869628906,56,1715531118.4274838
2.581387758255005,44.72312927246094,57,1715531119.1571052
3.084125280380249,53.115509033203125,57,1715531119.8824
3.1115267276763916,50.50369644165039,61,1715531120.6614869
2.557523250579834,46.78403091430664,62,1715531121.4500577
2.902634620666504,44.65205001831055,64,1715531122.2657473
2.500318765640259,42.91944885253906,64,1715531123.0759654
2.7823281288146973,50.73332214355469,66,1715531123.9159913
3.02052903175354,40.49618911743164,67,1715531124.7704518
2.574432611465454,42.16205978393555,68,1715531125.6380477
2.8332319259643555,43.26609802246094,70,1715531126.5321558
2.656978130340576,42.48667526245117,70,1715531127.4215143
2.886258125305176,38.39285659790039,77,1715531128.4009838
2.686180353164673,43.299049377441406,79,1715531129.4082484
2.9147839546203613,41.51215362548828,84,1715531130.4755428
2.7486493587493896,40.705482482910156,91,1715531131.633175
2.5704805850982666,40.461849212646484,102,1715531132.9289968
2.6589112281799316,37.90468978881836,105,1715531134.261769
2.7387616634368896,34.387027740478516,107,1715531135.6175
2.7329204082489014,38.269744873046875,111,1715531137.0283146
2.6973471641540527,38.136356353759766,113,1715531138.453817
2.9397757053375244,33.65178680419922,114,1715531139.9005492
2.5346505641937256,38.11396789550781,116,1715531141.36662
2.5842678546905518,37.3992919921875,117,1715531142.8480709
2.8570756912231445,34.72328186035156,118,1715531144.3400128
2.8808376789093018,33.648460388183594,123,1715531145.8905184
2.8275203704833984,37.36097717285156,133,1715531147.5712922
2.764392375946045,34.712162017822266,134,1715531149.258014
2.5220587253570557,32.32423782348633,138,1715531150.997516
2.680729389190674,34.75230407714844,141,1715531152.7730129
2.9311611652374268,34.76448440551758,154,1715531154.7194798
2.608455181121826,33.74440002441406,154,1715531156.6556823
2.644326686859131,34.14638137817383,157,1715531158.6318045
2.707521438598633,33.608001708984375,158,1715531160.6172392
2.8884570598602295,32.967018127441406,167,1715531162.717845
2.804414749145508,32.838253021240234,183,1715531165.0233676
2.6818125247955322,33.06563949584961,184,1715531167.333771
2.7406508922576904,28.26495933532715,205,1715531169.9125893
2.6141459941864014,28.863697052001953,243,1715531172.9715607
2.7159059047698975,28.33241081237793,285,1715531176.5522764
2.9663267135620117,29.261037826538086,327,1715531180.6542573
2.7309489250183105,28.32138442993164,342,1715531184.9598076
2.82334041595459,75.76909637451172,22,1715531197.2794774
2.5032365322113037,55.177852630615234,40,1715531197.7960951
2.795300006866455,54.51335144042969,41,1715531198.3252723
2.5691165924072266,46.96749496459961,69,1715531199.2042124
2.6058285236358643,53.342247009277344,71,1715531200.1129386
2.7757229804992676,41.78828048706055,73,1715531201.0476253
2.703871250152588,41.55078887939453,76,1715531202.0111835
2.783743143081665,42.32447814941406,81,1715531203.0374978
2.7250936031341553,42.40633010864258,88,1715531204.1488838
2.771085262298584,39.36259460449219,88,1715531205.258063
2.704853057861328,39.595703125,94,1715531206.4423532
2.9855353832244873,37.38256072998047,100,1715531207.703354
2.9448089599609375,33.6261100769043,128,1715531209.312329
2.722615957260132,34.06398010253906,153,1715531211.23658
2.779632091522217,33.74825668334961,156,1715531213.1939254
2.7168378829956055,32.9673957824707,159,1715531215.1868134
2.748109817504883,32.63545227050781,161,1715531217.2067397
2.8535842895507812,32.64178466796875,170,1715531219.3390832
2.922133684158325,36.192752838134766,177,1715531221.5589135
2.8858323097229004,34.20968246459961,179,1715531223.8010817
2.9168083667755127,31.43195343017578,188,1715531226.158256
2.607661247253418,31.350406646728516,201,1715531228.6791515
2.6012990474700928,31.127355575561523,209,1715531231.3049715
2.632333993911743,32.657108306884766,223,1715531234.1085742
2.708817720413208,30.18894386291504,248,1715531237.2265944
2.697528123855591,31.06924057006836,261,1715531240.5048754
2.829928398132324,30.723312377929688,268,1715531243.871218
2.7177345752716064,29.843469619750977,331,1715531248.03298
2.7773773670196533,28.325794219970703,335,1715531252.2427871
2.7140963077545166,28.74692726135254,338,1715531256.4896514
